Search results:
    dorsal git://github.com/eventbrite/dorsal.git
    bootstrap-event-calendar git://github.com/mnolte/bootstrap-calendar.git
    ybExample git://github.com/likeclever1/example
    angular-access-token git://github.com/hrevert/angular-access-token.git
    angular-notys git://github.com/steve-ng/angular-notys.git
    eventric-remote-socketio-client git://github.com/efacilitation/eventric-remote-socketio-client.git
    reverse-string git://github.com/cedced19/reverse-string.git
    mod-events git://github.com/mod-ui/mod-events.git
    bower-everything git://github.com/gdi2290/bower-everything.git
    mootools-custom-event git://github.com/cpojer/mootools-custom-event.git
    cup git://github.com/coffeedeveloper/cup.git
    angular-stripe-pay git://github.com/mandofever78/angular-stripe-pay.git
    propcom-events-rich-snippets git://github.com/propcom/fe-events-rich-snippets.git
    ozone-bootstrap git://github.com/ozone-development/bootstrap.git
    ipsum-everything git://github.com/JaredCubilla/ipsum-everything.git
    angular-ng-if-event git://github.com/FireVolkhov/angular-ng-if-event
    njax git://github.com/Neverbland/njax.git
    keysim git://github.com/eventualbuddha/keysim.js.git
    swipe-event git://github.com/kt3k/SwipeEvent.git
    angucomplete-events git://github.com/misabitencourt/angucomplete.git
    easyevent git://github.com/gustavohenrique/easyevent.git
    rsamec git://github.com/rsamec/clever-core-list.git
    everestjs git://github.com/PulsarBlow/everest.js.git
    mini-event git://github.com/ecomfe/mini-event.git
    everycss-parser git://github.com/bleuebuzz/everycss-parser.git
    levenshtein-edit-distance git://github.com/wooorm/levenshtein-edit-distance.git
    eventojs git://github.com/gustavohenrique/eventojs.git
    everest.js git://github.com/PulsarBlow/everest.js.git
    eventtarget git://github.com/ondras/ie8eventtarget.git
    multiplelevelmenu git://github.com/JTLR/MultipleLevelMenu.git
    allow-me git://github.com/steve-ng/allowMe.git
